album_id,album_date
9f4a537f-bee8-4a67-9a82-62f32f55b503,1989-11-06
9e2b8f56-27e6-43c8-a7f6-ca2767143628,1997
981b7183-4f4b-4ae3-b7a4-fdf0b024b5df,2009-11
2ca2ffd5-b992-40e5-a7e6-923715766d1b,2000-03-31
08e5c828-a2f2-4ed8-9c24-e68741f79309,2007
c5babe60-be4c-46e8-b6cb-535553b9cf0d,2006-06-02
495a4df3-59e9-4152-9630-3349095bad85,1982
8d659f5f-27fd-4f4c-82ae-b38247f3e10a,1991
56c65bca-ad7a-4dcf-bf4f-d95fc99c7d59,1990-09
314fcbca-fa84-40b9-8217-94df72b819f9,1990-12-13
46476cc3-47a0-48a3-94ab-af9a426fe72b,2002-06-18
37cf6571-d4dc-4df3-8645-46ac04d14a92,2004-10-25
9f92e23f-c373-4061-9be8-2533a168c49b,1991-11-19
a1132459-bae6-49a1-b0fd-75692a5c59bd,1999-08-24
7b07b365-8890-4a5e-96db-bdb3036b25d6,1993
d08dc9e6-3bc2-4830-b9cb-7b436322ec3e,2001
63e74ab9-502d-45f1-9aa7-457e62e5ccfa,1994-08-02
5094ede9-fb7f-4b12-9b53-6949f5822015,2004-03-29
9a4ae715-551b-4bff-90d2-dfe600338b5f,1997
d5753577-0777-48de-b3b7-333f0a94ba76,2010
7632a372-24fb-41ac-8af1-c8c9e3850f5b,1990-08-13
f67c5e57-a8f8-4707-b930-8ddf52d1794b,2001
82130649-2e60-415a-8614-b9eeb5f2b154,2002-04-14
6e18e426-b443-488f-87c3-f56062cc9245,2003-07-22
30d5ddd8-5c68-4164-96f6-33d179d03e28,1992
90d74300-ea3e-4945-bae5-392c66174214,2004
2cc9aa2c-ae40-4787-9192-aa283509f476,1996
12d47b35-7b3f-42c9-bce8-a98161413bf2,
add6d9a2-3aa2-4ab3-9730-c8e87991770b,2002-12-17
2b5ff740-1c41-4836-8bdc-47b6491a8f9d,1998-01-29
d05e1b8c-bc72-4a07-957d-09100d2ae4c2,2004-03-29
8ac5f43e-ddb4-4739-8d1c-d8281825aa65,2001
7a83c976-29a0-4998-9195-f8f61ed9b378,2004-03-29
c876d610-5e23-4f29-a7dc-f928c22e76fe,1991-03-25
12a79286-6586-4655-83e4-11416a18d56b,
b3e12b86-3d75-4fa3-bce3-f079746fb942,1987
1289ae28-8194-4f71-abce-fdffb346aeb8,1997
099bd4a0-db2d-4ab3-a319-e0229748f43b,2005
61594843-98d3-4f60-bed7-57542bcd5705,1996
fcf9e8d3-3f58-4d55-b0a2-294f30e3ddea,1997
11f19fd3-9837-4c5a-a0d3-c39a3c3a020d,2002
e741e179-d989-4fb9-ad34-804dd33049a8,
436546cf-f718-4082-ac24-842aee192146,2005-11-29
6757f23b-9066-47f1-aeee-6a5cd6cf1f0f,1976
7a619154-59f3-4d11-a0d9-0280780927de,2006-11-10
ec83b541-16ac-410c-8c9c-2d46ee399840,1985
62f10747-d24a-43ea-b20b-909def6cb73b,1977
9b674bbc-2814-4bf7-b9ae-23e50d91fcc6,2006
23e540fa-16c9-4655-86e9-b718bebc9c1d,2000
8009ed86-601a-41c0-91c6-15d56f815d8e,2005-03-29
b7a1b1ee-7dc8-3444-aad9-01625934db1d,1993-03
d1582065-caa3-3ff0-a67e-857de62c2993,1998
691c26c5-5804-47ca-8d86-41b411876689,1995
9d105684-86e6-41f7-816e-1b43334c668d,1997-11-18
bb56b1bc-5f23-461a-a003-0a1c36d7eeed,2001-09
c80d7b2b-fbe8-48ab-bc38-617b2c3bda79,1974-07-22
47a3df75-18ec-4bf2-a506-a5f84d60e086,2008-08-01
5f1d4bcc-63fe-3910-8133-c94252dba559,2005-11-25
bd15ccd6-ea95-40b8-8a61-c47fb4d5b30f,2003-03-31
ece12048-3a79-4c1f-915a-15a79861dfc3,2005-04-04
63424f2f-d5d5-44aa-af76-5ebcb42d68d9,2004-08-20
48e8bb76-e5ef-4fc8-a92f-7a65ccc83a8c,2003-03-30
0077db30-9631-4303-a5ad-1d863f1b8f09,2006
48b80628-7474-4bdf-aba1-99a432786b98,2003
a3714c13-8453-43cf-9808-5c7dfc909718,2004-08-09
999eb117-9dee-47b8-8ad1-01d42ba3eeec,1996-08-12
